Price,Airline_encoded,Source_encoded,Additional_Info_encoded,Destination_encoded,Total_Stops_encoded,Month,Day,Dep_Hour,dep_day_encoded,DayOfWeek_encoded,Dep_Day_encoded,Duration_Minutes,Route1_encoded,Route2_encoded,Route3_encoded,Route4_encoded,Route5_encoded,Route6_encoded
3897,3,0,8,5,0.0,3,24,22,3,3,3,170,0,13,29,13,5,1
7662,1,3,8,0,1.0,5,1,5,2,6,2,445,2,25,1,3,5,1
13882,4,2,8,1,1.0,6,9,9,2,3,2,1140,3,32,4,5,5,1
6218,3,3,8,0,2.0,5,12,18,1,3,1,325,2,34,3,13,5,1
13302,3,0,8,5,2.0,3,1,16,1,0,1,285,0,34,8,13,5,1
3873,8,3,8,0,0.0,6,24,9,2,1,2,145,2,5,29,13,5,1
11087,4,0,5,5,2.0,3,12,18,1,5,1,930,0,7,8,13,5,1
22270,4,0,8,5,2.0,3,1,8,2,0,2,1265,0,7,8,13,5,1
11087,4,0,5,5,2.0,3,12,8,2,5,2,1530,0,7,8,13,5,1
8625,6,2,8,1,2.0,5,27,11,2,1,2,470,3,7,6,13,5,1
8907,1,2,8,1,2.0,6,1,9,2,2,2,795,3,6,6,13,5,1
4174,3,3,8,0,0.0,4,18,20,1,4,1,155,2,5,29,13,5,1
4667,1,1,8,4,0.0,6,24,11,2,1,2,135,4,8,29,13,5,1
9663,4,3,5,0,2.0,5,9,21,3,4,3,730,2,7,3,13,5,1
4804,3,3,8,0,0.0,4,24,17,1,6,1,155,2,5,29,13,5,1
14011,1,2,8,1,1.0,3,3,16,1,3,1,1595,3,0,4,5,5,1
5830,8,2,8,1,2.0,4,15,8,2,1,2,270,3,37,6,13,5,1
10262,4,2,5,1,2.0,6,12,14,0,6,0,1355,3,7,6,13,5,1
13381,1,2,8,1,1.0,6,12,20,1,6,1,1380,3,9,4,5,5,1
12898,4,2,5,1,2.0,5,27,16,1,1,1,1235,3,7,6,13,5,1
19495,2,2,8,1,2.0,3,6,14,0,6,0,310,3,7,6,13,5,1
6955,1,0,8,5,2.0,3,21,22,3,4,3,920,0,11,8,13,5,1
3943,3,0,8,2,0.0,4,3,4,3,6,3,170,0,13,29,13,5,1
4823,3,0,8,2,0.0,5,1,18,1,6,1,175,0,13,29,13,5,1
7757,4,3,5,0,2.0,5,6,18,1,1,1,800,2,7,3,13,5,1
13292,4,2,8,1,1.0,6,9,21,3,3,3,910,3,21,4,5,5,1
8238,3,2,8,1,2.0,6,1,21,3,2,3,345,3,32,6,13,5,1
7682,2,2,8,1,2.0,5,15,7,2,6,2,355,3,7,6,13,5,1
4668,10,0,8,2,0.0,6,18,9,2,5,2,170,0,13,29,13,5,1
3687,10,1,8,4,0.0,6,15,7,2,2,2,135,4,8,29,13,5,1
3687,10,1,8,4,0.0,6,18,7,2,5,2,135,4,8,29,13,5,1
13227,1,3,8,0,1.0,5,1,9,2,6,2,805,2,15,9,3,5,1
4423,3,0,8,2,0.0,4,6,4,3,2,3,170,0,13,29,13,5,1
10919,4,2,5,1,1.0,6,15,14,0,2,0,1320,3,34,4,5,5,1
12373,4,2,5,1,2.0,5,18,7,2,2,2,330,3,7,6,13,5,1
5894,3,2,8,1,2.0,6,27,10,2,4,2,625,3,7,6,13,5,1
4649,8,3,8,0,2.0,5,21,15,0,5,0,315,2,33,3,13,5,1
6245,1,3,8,0,0.0,5,18,14,0,2,0,150,2,5,29,13,5,1
19225,4,0,8,5,2.0,3,6,7,2,6,2,375,0,7,8,13,5,1
14924,4,2,8,1,2.0,6,3,7,2,1,2,715,3,7,6,13,5,1
9646,6,2,8,1,2.0,5,21,7,2,5,2,665,3,20,6,13,5,1
8714,1,0,8,5,2.0,3,15,6,2,0,2,510,0,7,8,13,5,1
12373,4,2,5,1,2.0,5,18,20,1,2,1,1325,3,7,6,13,5,1
3383,0,0,8,2,0.0,5,6,11,2,1,2,165,0,13,29,13,5,1
13062,6,2,8,1,2.0,3,21,9,2,4,2,720,3,7,6,13,5,1
3527,8,0,7,5,0.0,3,24,5,2,3,2,170,0,13,29,13,5,1
3943,3,0,8,2,0.0,5,27,4,3,1,3,170,0,13,29,13,5,1
4667,1,1,8,4,0.0,5,3,11,2,0,2,135,4,8,29,13,5,1
6117,1,3,8,0,2.0,5,15,19,1,6,1,965,2,20,3,13,5,1
11150,4,2,5,1,1.0,6,27,23,3,4,3,1195,3,0,4,5,5,1
7202,4,2,5,1,0.0,3,9,11,2,2,2,195,3,10,29,13,5,1
12121,4,3,8,0,2.0,5,1,9,2,6,2,1520,2,14,3,13,5,1
4377,3,0,8,5,0.0,3,24,22,3,3,3,170,0,13,29,13,5,1
3943,3,0,8,2,0.0,6,18,21,3,5,3,180,0,13,29,13,5,1
4483,0,0,8,2,0.0,4,3,23,3,6,3,170,0,13,29,13,5,1
14231,4,3,8,0,2.0,3,24,19,1,3,1,975,2,7,3,13,5,1
17345,1,0,8,5,1.0,3,1,8,2,0,2,905,0,7,0,6,5,1
7414,10,1,8,4,0.0,3,6,7,2,6,2,135,4,8,29,13,5,1
8073,6,2,8,1,2.0,5,6,19,1,1,1,390,3,7,6,13,5,1
12395,10,4,8,3,2.0,3,6,15,0,6,0,1505,1,14,13,13,5,1
8366,1,3,8,0,2.0,6,6,9,2,4,2,745,2,7,3,13,5,1
5117,1,2,8,1,2.0,4,3,6,2,6,2,1640,3,33,6,13,5,1
12524,6,2,8,1,2.0,6,3,8,2,1,2,615,3,7,6,13,5,1
7191,3,2,8,1,2.0,5,15,15,0,6,0,630,3,7,6,13,5,1
3687,10,1,8,4,0.0,5,24,7,2,0,2,135,4,8,29,13,5,1
5894,3,2,8,1,2.0,6,24,10,2,1,2,625,3,7,6,13,5,1
5403,10,0,8,2,0.0,4,24,9,2,6,2,170,0,13,29,13,5,1
3625,1,4,8,3,0.0,5,6,13,0,1,0,90,1,19,29,13,5,1
10861,1,2,8,1,1.0,5,21,5,2,5,2,800,3,4,4,5,5,1
6297,3,1,8,4,0.0,3,12,13,0,5,0,135,4,8,29,13,5,1
5678,4,4,8,3,0.0,6,1,7,2,2,2,85,1,19,29,13,5,1
9134,4,0,5,5,2.0,3,9,5,2,2,2,1590,0,7,8,13,5,1
10791,6,2,5,1,2.0,6,24,11,2,1,2,440,3,7,6,13,5,1
12819,4,2,8,1,1.0,6,24,23,3,1,3,810,3,0,4,5,5,1
6893,3,2,8,1,2.0,3,21,5,2,4,2,300,3,6,6,13,5,1
7240,10,0,8,5,0.0,3,9,9,2,2,2,165,0,13,29,13,5,1
3898,2,0,8,2,0.0,4,3,11,2,6,2,170,0,13,29,13,5,1
4049,3,4,8,3,0.0,4,3,6,2,6,2,90,1,19,29,13,5,1
10262,4,2,5,1,2.0,6,15,17,1,2,1,1145,3,7,6,13,5,1
3332,8,1,7,4,0.0,3,21,8,2,4,2,135,4,8,29,13,5,1
10844,4,3,5,0,2.0,6,9,21,3,3,3,890,2,7,3,13,5,1
7229,4,0,8,5,0.0,3,24,19,1,3,1,160,0,13,29,13,5,1
13941,4,3,8,0,2.0,5,6,6,2,1,2,1330,2,7,3,13,5,1
5894,3,2,8,1,2.0,6,27,11,2,4,2,575,3,7,6,13,5,1
10197,6,2,8,1,2.0,5,18,9,2,2,2,600,3,7,6,13,5,1
13712,4,0,5,5,2.0,3,6,14,0,6,0,1280,0,7,8,13,5,1
5636,3,2,8,1,2.0,6,24,2,3,1,3,325,3,33,6,13,5,1
13014,4,2,8,1,1.0,6,6,9,2,4,2,1125,3,28,4,5,5,1
7064,4,3,5,0,2.0,4,1,8,2,1,2,740,2,7,3,13,5,1
10703,4,3,5,0,2.0,5,24,20,1,0,1,1080,2,14,3,13,5,1
9646,6,2,8,1,2.0,5,27,13,0,1,0,555,3,20,6,13,5,1
17057,6,2,8,1,2.0,3,6,2,3,6,3,665,3,7,6,13,5,1
13817,4,0,8,5,2.0,3,12,16,1,5,1,1050,0,7,8,13,5,1
13748,1,2,8,1,1.0,3,6,5,2,6,2,800,3,4,4,5,5,1
4880,1,3,8,0,0.0,4,21,20,1,3,1,155,2,5,29,13,5,1
3540,3,1,8,4,0.0,6,21,5,2,0,2,145,4,8,29,13,5,1
3257,8,0,7,2,0.0,5,15,5,2,6,2,160,0,13,29,13,5,1
6478,4,0,5,2,0.0,6,3,19,1,1,1,180,0,13,29,13,5,1
8040,4,4,8,3,0.0,6,18,7,2,5,2,85,1,19,29,13,5,1
14300,4,2,8,1,1.0,6,12,20,1,6,1,995,3,1,4,5,5,1
14781,4,3,8,0,2.0,5,15,8,2,6,2,740,2,7,3,13,5,1
14939,4,3,8,0,2.0,6,9,20,1,3,1,735,2,7,3,13,5,1
10262,4,2,5,1,2.0,6,24,20,1,1,1,450,3,7,6,13,5,1
